,0,1
reserve,87.0,0.00010875
nature,99.0,0.00012375
center,238.0,0.0002975
is,9124.0,0.011405
a,18963.0,0.02370375
km,419.0,0.00052375
located,454.0,0.0005675
in,26257.0,0.03282125
cedar,8.0,1e-05
falls,65.0,8.125e-05
iowa,32.0,4e-05
the,65665.0,0.08208125
dedicated,75.0,9.375e-05
to,18705.0,0.02338125
teaching,67.0,8.375e-05
youth,105.0,0.00013125
about,810.0,0.0010125
through,616.0,0.00077
hands,75.0,9.375e-05
on,7447.0,0.00930875
experiences,16.0,2e-05
and,26293.0,0.03286625
preservation,11.0,1.375e-05
it,4169.0,0.00521125
largest,168.0,0.00021
undisturbed,3.0,3.75e-06
wooded,6.0,7.5e-06
area,532.0,0.000665
black,216.0,0.00027
hawk,8.0,1e-05
county,511.0,0.00063875
home,458.0,0.0005725
three,753.0,0.00094125
distinct,23.0,2.875e-05
habitats,9.0,1.125e-05
including,628.0,0.000785
wetland,4.0,5e-06
forest,81.0,0.00010125
prairie,17.0,2.125e-05
was,11253.0,0.01406625
named,372.0,0.000465
camp,90.0,0.0001125
when,1336.0,0.00167
owned,120.0,0.00015
operated,61.0,7.625e-05
by,6314.0,0.0078925
ymca,13.0,1.625e-05
only,862.0,0.0010775
acres,48.0,6e-05
m,376.0,0.00047
size,145.0,0.00018125
after,1904.0,0.00238
john,429.0,0.00053625
c,203.0,0.00025375
who,1733.0,0.00216625
editor,92.0,0.000115
for,7509.0,0.00938625
waterloo,7.0,8.75e-06
daily,71.0,8.875e-05
courier,7.0,8.75e-06
enthusiast,4.0,5e-06
amateur,45.0,5.625e-05
archaeologist,12.0,1.5e-05
could,413.0,0.00051625
not,1648.0,0.00206
raise,36.0,4.5e-05
money,126.0,0.0001575
buy,32.0,4e-05
property,138.0,0.0001725
donated,30.0,3.75e-05
sizable,2.0,2.5e-06
amount,70.0,8.75e-05
towards,123.0,0.00015375
purchase,38.0,4.75e-05
enough,73.0,9.125e-05
have,1477.0,0.00184625
bear,28.0,3.5e-05
his,4930.0,0.0061625
name,555.0,0.00069375
purchased,70.0,8.75e-05
camping,6.0,7.5e-06
site,216.0,0.00027
local,343.0,0.00042875
boys,77.0,9.625e-05
as,7368.0,0.00921
members,385.0,0.00048125
of,30462.0,0.0380775
use,364.0,0.000455
had,2470.0,0.0030875
pool,29.0,3.625e-05
lodge,16.0,2e-05
cabins,1.0,1.25e-06
other,1273.0,0.00159125
facilities,77.0,9.625e-05
overnight,6.0,7.5e-06
day,376.0,0.00047
campers,3.0,3.75e-06
various,254.0,0.0003175
reasons,61.0,7.625e-05
decided,152.0,0.00019
sell,35.0,4.375e-05
conservation,24.0,3e-05
board,176.0,0.00022
from,4996.0,0.006245
eleven,41.0,5.125e-05
reserves,12.0,1.5e-05
lowlands,6.0,7.5e-06
briefly,41.0,5.125e-05
considered,185.0,0.00023125
us,493.0,0.00061625
highway,45.0,5.625e-05
but,1844.0,0.002305
public,421.0,0.00052625
opinion,46.0,5.75e-05
helped,96.0,0.00012
push,20.0,2.5e-05
route,122.0,0.0001525
north,529.0,0.00066125
george,190.0,0.0002375
memorial,108.0,0.000135
state,710.0,0.0008875
park,338.0,0.0004225
cities,79.0,9.875e-05
afford,14.0,1.75e-05
